,词性,频次
0,n,4003
1,nr,422
2,v,5401
3,a,1027
4,q,257
5,t,378
6,d,1986
7,i,82
8,f,273
9,z,80
10,m,153
11,an,44
12,ns,202
13,vn,151
14,b,37
15,c,3
16,ad,36
17,r,88
18,s,248
19,nz,40
20,j,39
21,o,1
22,w,81
23,l,38
24,p,5
25,e,4
26,u,16
27,y,1
