前1-50,次数
ང་,135
ས་,104
་ས,87
نى,80
ན་,71
ི་,67
་ལ,66
་མ,64
ར་,63
མ་,52
་བ,51
ད་,50
་ག,49
སྐ,49
也许,47
་ར,47
ىن,45
يا,45
འི,45
眼泪,43
ལ་,43
بى,42
بو,42
离开,42
永远,41
་འ,41
寂寞,40
ོད,40
་ཡ,40
ྱི,38
等待,37
་པ,37
་ན,37
ئى,36
爱情,36
幸福,36
再见,36
忘记,36
明白,35
།།,35
لد,34
记得,34
كۆ,33
مە,33
喜欢,33
就算,33
تە,32
لى,32
ەن,31
终于,31
