,词性,频次
0,v,10379
1,n,7952
2,d,2680
3,vn,227
4,a,1226
5,nr,541
6,ns,93
7,t,327
8,q,357
9,m,183
10,r,118
11,f,283
12,s,161
13,l,48
14,ad,61
15,z,107
16,i,82
17,w,66
18,b,52
19,j,43
20,h,3
21,nz,37
22,an,40
23,p,10
24,u,6
25,c,4
26,vd,9
