,词性,频次
0,n,11219
1,nr,1948
2,v,13432
3,d,4434
4,m,537
5,q,795
6,ns,521
7,j,84
8,l,92
9,a,2471
10,w,355
11,f,744
12,t,815
13,s,595
14,ad,95
15,i,248
16,z,234
17,vn,395
18,an,86
19,p,55
20,u,17
21,nz,117
22,r,254
23,b,132
24,c,15
25,vx,8
26,vd,24
27,o,1
28,e,8
29,y,1
