前1-50,次数
不必,60
~咿,60
欢乐,57
南方,57
再见,57
永远,56
一点,50
回忆,48
乐队,43
兰州,42
心中,41
到底,39
也许,35
黄河,32
心间,30
~耶,30
高虎,29
难过,29
宿命,28
希望,27
离开,27
面对,27
明天,27
美丽,27
眼泪,26
回家,24
明白,24
寂寞,24
从前,24
疑问,24
杰克,24
凯鲁亚克,24
明月,24
未来,23
姑娘,23
在乎,23
人潮,23
人海,23
全都,23
美好,22
伤心,22
唐朝,22
夜晚,21
感觉,21
感到,21
今宵杯,21
中映,21
潮落,21
天空,20
地方,20
