运动员名,国籍,扣球,拦网,发球
运动员A,俄罗斯,184,20,5
运动员B,塞尔维亚,187,13,9
运动员C,多米尼加,181,13,3
运动员D,中国,153,16,9
运动员E,荷兰,156,13,2
运动员F,日本,158,3,9
运动员G,巴西,139,16,6
运动员H,巴西,140,10,9
运动员I,多米尼加,118,12,18
运动员J,韩国,130,9,4
运动员K,阿根廷,132,6,3
运动员L,韩国,122,9,8
运动员M,喀麦隆,129,3,4
运动员N,韩国,117,9,10
运动员O,俄罗斯,88,41,6
运动员P,俄罗斯,113,7,9
运动员Q,美国,105,9,9
运动员R,俄罗斯,101,12,9
运动员S,中国,97,10,10
运动员T,中国,87,23,6
运动员U,美国,103,6,7
运动员V,阿根廷,87,4,20
运动员W,荷兰,96,7,5
运动员X,肯尼亚,94,4,4
运动员Y,中国,74,18,8
