品名,最低价,平均价,最高价,规格,单位
鲤鱼,4.5,4.65,4.8,>1000g,
草鱼,4.4,4.45,4.5,<750g,
鲫鱼,5,5.25,5.5,100g-150g,
胖头鱼,6.5,6.75,7,>2000g,
武昌鱼,7.5,7.55,7.6,,
鲢鱼,3,,,>1500g,
嘎鱼,12,12.5,13,<100g,
国产白鲴鱼,,11,12,>250g/冻,
燕鲅,14,14.5,15,>300g/冻,
鲐鲅,3.5,4,4.5,<300g/冻,
左偏口鱼,,21,22,<600g/冻,
