仰望
冷战
下雨天
都市霓虹
Mr. Right
安全感
P.Y.T
必杀技
小镇爱（Thug Love）
插叙人生（Montage）
旅行家的忠诚
C级浪漫
驯服
沛公
温柔乡，屠宰场
I Am Hip Hop
Cfbdsir2149
和影子跳舞 (feat. 毛不易)
WHO'S NEXT
舍曲林
DIDA滴嗒
某某
天空慢慢变暗
百氚朝海
23
POW!!
一家人
牧之
Bully
不再等你
馈赠
海边探戈
下不完的雨
城市孤独病
离开
杜鹃
黑色星期五
直播带货
神明
这般雨天
夏天的烟火
海誓山盟
我只能离开
门槛
怪就怪天气
中二没有病
N9“天使”
想你的夜
我的歌声里
Strangers
丹阳子（道诡异仙同人曲）
Reverse
我想 (remix) (LIVE版)
如果可以我想和你
嘴脸
怎么忘记
爱变质
林宛瑜
下坠Falling
零点都市
六月的雨
La Haine
底牌
Babe
末日
