追
爱的代价
色诫
女人花
相见不如怀念
漂洋过海来看你
沙滩
人间
梦一场
曲终人散
青苹果乐园
催眠
爱，很简单
百年孤寂
趁早
飞机场的10:30
一千个伤心的理由
小镇姑娘
光辉岁月
似是故人来
每天爱你多一些
广岛之恋
太傻(国)
爱相随
城里的月光
泪海
棋子
我的亲爱
遗憾
朋友
预感
羞答答的玫瑰静悄悄地开
爱
大约在冬季
当爱已成往事
很爱很爱你
单身情歌
掌心
风中有朵雨做的云
值得
伤痕
冬季到台北来看雨
红蜻蜓
友共情
囚鸟
阴天
吻别
海阔天空
Last Dance
心太软
红豆
爱我别走
爱如潮水
红日
灰色轨迹
千千阕歌
月半小夜曲
最爱
失恋阵线联盟
爱如潮水
一生中最爱
傻女
挪威的森林
梦醒时分
沉默是金
难得有情人
春夏秋冬
爱的初体验
都是你的错
慢慢
