ID,Name,Rank
240,Steel Dragon 2000,1
152,Leviathan,2
101,Fujiyama,3
164,Millennium Force,4
59,Coaster Through the Clouds,5
271,Titan,6
104,Fury 325,7
132,Intimidator 305,8
222,Shambhala,9
72,Desperado,10
